Name,Title,Voice_Line,Release_Date,Primary_Role,Secondary_Role,Lane,Hp,Hp_Regen,Mana,Mana_Regen,Phy_Damage,Mag_Damage,Phy_Defence,Mag_Defence,Mov_Speed,Esport_Wins,Esport_Loss
Aamon,Duke of Shards,"It is better to be feared than loved, if you cannot both.",2021-10-25,Assassin,,Jungler,2614,8,455,21,115,0,19,15,250,43,42
Akai,Panda Warrior,Now Akai enters the scene!,2016,Tank,Support,Roamer,2769,8.4,422,12,115,0,24,15,260,540,524
Aldous,Soul Contractor,Primary Role,2018,Fighter,,EXP Lane,2718,9.8,405,18,129,0,21,15,260,95,92
Alice,Queen of Blood,Watch your back!,2016,Mage,Tank,EXP Lane,2573,7.2,493,18,114,0,21,15,240,364,352
Alpha,Blade of Enmity,Test! Alpha is online.,2017,Fighter,,EXP Lane,2646,7.8,453,31,121,0,25,15,260,24,33
Alucard,Demon Hunter,Demons shall bathe in their blood. The light belongs to the righteous.,2016,Fighter,Assassin,Jungler,2621,7.8,0,0,123,0,21,15,260,22,33
Angela,Bunnylove,Primary Role,2018-02-06,Support,,Roamer,2421,6.8,515,18,115,0,15,15,240,253,325
Argus,Dark Angel,Primary Role,2017,Fighter,,EXP Lane,2628,8,0,0,100,0,21,15,260,2,7
Atlas,Ocean Gladiator,The ocean is not just our home. It is who we are.,2020-03-20,Tank,Support,Roamer,2819,8.4,440,15,135,0,21,15,240,277,254
Aurora,Frost Oracle,Listen to the sound of snowing.,09-05-2017,Mage,,Mid,2501,6.8,750,23,110,0,17,15,245,28,26
Aulus,Warrior of Ferocity,Old Aulus still has a few tricks to show!,2021-08-31,Fighter,,EXP Lane,2758,10.2,410,17,90,0,24,15,255,114,109
Badang,Tribal Warrior,Primary Role,2019-01-15,Fighter,,EXP Lane,2708,8,0,0,111,0,23,15,255,15,14
Balmond,Bloody Beast,Primary Role,2016,Fighter,,EXP Lane,2736,9.4,0,0,119,0,25,15,260,301,330
Bane,Frozen King,Target locked,2016,Fighter,Mage,Jungler,2559,8.4,433,12,117,0,23,15,260,95,111
Barats,Dino Rider,I might not be a learned man but I do know my trades.,2020-09-18,Tank,Fighter,EXP Lane,2559,8.8,430,15,135,0,18,15,268,327,346
Baxia,Mystic Tortoise,Rocks need no protection from the rain.,2019-10-08,Tank,,Jungler,2769,8.4,422,15,125,0,23,15,240,450,465
Beatrix,Dawnbreak Soldier,"Time and tide wait for no man, not girl.",2021-03-19,Marksman,,Gold Lane,2550,7.2,0,0,102,0,20,15,257,1016,969
Belerick,Guard of Nature,Primary Role,2018-12-17,Tank,,Roamer,2569,8.4,450,12,110,0,15,15,250,57,71
Benedetta,Shadow Ranger,"When the body suffers, the spirit blooms.",2020-11-07,Assassin,,EXP Lane,2569,6.6,460,16,113,0,18,15,255,477,471
Brody,The Lone Star,Pain is the proof the I'm still alive.,2020-10-16,Marksman,,Gold Lane,2490,7.2,435,15,105,0,20,15,253,470,476
Bruno,Mech Protector,Primary Role,2016,Marksman,,Gold Lane,2522,6,439,15,140,0,17,15,240,154,154
Carmilla,Shadow of Twilight,True love is like blood,2020-01-17,Support,,Roamer,2528,7.8,430,16,126,0,25,15,255,32,47
Cecilion,Embrace of Night,Only love and night are everlasting.,2020-02-12,Mage,,Mid,2456,6.8,700,30,105,0,18,15,255,470,588
Chang'e,Moon Palace Immortal,Primary Role,2018-05-30,Mage,,Mid,2301,6.8,505,21,115,0,16,15,240,221,285
Chou,Kung-Fu Boy,Primary Role,2016,Fighter,,Gold Lane,2708,7.8,0,0,121,0,23,15,260,1139,1057
Claude,Partners in Crime,"Come on Dexter, it's our showtime!",2018-08-07,Marksman,,Gold Lane,2370,8,450,16,97,0,14,15,240,618,583
Clint,Wild Wanderer,Chivalry is dead. And I will revive it.,2016,Marksman,,Gold Lane,2530,7.2,450,15,115,0,20,15,240,540,536
Cyclops,Starsoul Magician,Primary Role,2017,Mage,,Mid,2521,7.6,500,20,112,0,18,15,240,69,90
Diggie,Timekeeper,Primary Role,2017-11-19,Support,,Roamer,2468,7.2,490,20,115,0,20,15,250,270,318
Dyrroth,Prince of the Abyss,Primary Role,2019-06-25,Fighter,,EXP Lane,2758,8.2,0,0,117,0,22,15,265,345,300
Esmeralda,Astrologer,Secondary Role,2019-04-02,Mage,Tank,EXP Lane,2573,7.2,502,20,114,0,21,15,240,1357,1529
Edith,Ancient Guard,"I'm the Priestess of Primal Lightning, the hunter of all the evil gods!",2021-12-24,Tank,Marksman,EXP Lane,2549,9,0,0,110,0,15,15,255,87,93
Estes,Moon Elf King,Primary Role,12-04-2017,Support,,Roamer,2221,7.2,545,18,120,0,13,15,240,220,203
Eudora,Lightning Weaver,You should be ashamed for not trusting yourself.,2016,Mage,,Mid,2524,7.6,468,16,112,0,19,15,250,78,67
Fanny,Blade Dancer,"Sir, what's your command?",2016,Assassin,,Jungler,2526,6.6,100,3,126,0,19,15,265,189,196
Faramis,Soul Binder,Secondary Role,2019-05-18,Support,Mage,Roamer,2543,6.8,500,19,118,0,20,15,245,162,118
Floryn,The Budding Hope,Let's make the whole world green and lively!,2021-09-22,Support,,Roamer,2401,7.6,550,22,119,0,12,15,240,16,32
Franco,Frozen Warrior,I love the smell of gunpowder in the mornin'!,2016,Tank,Support,Roamer,2709,9.2,440,10,116,0,25,15,260,360,267
Fredrinn,Rogue Appraiser,See value in me? *Humph* You should.,2022-08-12,Tank,Fighter,EXP Lane,2709,6.4,0,0,125,0,20,15,260,0,3
Freya,Valkyrie,I am a daughter of Northern Vale. I swear to protect it till my last breath.,2016,Fighter,,EXP Lane,2801,9.8,0,0,109,0,22,15,260,7,15
Gatotkaca,Iron Steel,Secondary Role,2017,Tank,Fighter,Roamer,2629,8.4,0,0,128,0,10,15,260,71,74
Gloo,Swamp Spirits,You are facing a cluster.,2021-04-16,Tank,,Roamer,2819,12.4,440,20,120,0,18,15,245,244,223
Gord,Professor of the Mystic,Primary Role,2016,Mage,,Mid,2478,6.4,570,25,110,0,13,15,240,13,21
Granger,Death Chanter,Primary Role,2019-04-19,Marksman,,Gold Lane,2370,5.4,0,0,100,0,15,15,240,309,349
Grock,Fortress Titan,Primary Role,2017,Tank,,Roamer,2819,8.4,430,12,135,0,21,15,260,601,634
Guinevere,Ms. Violet,Primary Role,2019-02-21,Fighter,,Gold Lane,2528,7.8,0,0,126,0,18,15,260,18,26
Gusion,Holy Blade,I'm bound by nothing â€“ be it family or destiny.,2018,Assassin,,Jungler,2578,7.8,460,16,119,0,18,15,260,117,131
Hanabi,The Scarlet Sakura,"Hanabi, sannjyo!",2018-04-17,Marksman,,Gold Lane,2510,6,390,15,105,0,17,15,245,14,12
Hanzo,Akuma Ninja,Primary Role,2018-12-04,Assassin,,Jungler,2594,7,0,0,108,0,17,15,260,14,25
Harith,Time Traveler,Primary Role,2018-11,Mage,,Mid,2701,7.2,490,18,114,0,19,15,240,243,222
Harley,Mage Genius,Time for me to make my entrance!,2017-08-04,Mage,Assassin,Mid,2501,7.2,490,18,114,0,19,15,240,211,217
Hayabusa,Crimson Shadow,"Hayabusa, sannjyo!",2016,Assassin,,Jungler,2429,7.4,100,4,117,0,17,15,260,607,564
Helcurt,Shadowbringer,Primary Role,2017,Assassin,,Jungler,2599,7,440,16,121,0,17,15,255,173,179
Hilda,Power of Megalith,The real warrior is here.,2017,Fighter,Tank,EXP Lane,2789,8.4,0,0,123,0,24,15,260,192,230
Hylos,Grand Warden,Primary Role,2017,Tank,,Roamer,2909,18.4,430,12,105,0,17,15,260,232,277
Irithel,Jungle Heart,Primary Role,2017-08-15,Marksman,,Gold Lane,2540,7,0,0,118,0,17,15,260,114,109
Jawhead,Steel Sweetheart,Primary Role,2018,Fighter,,EXP Lane,2658,7.8,430,16,119,0,24,15,255,470,490
Johnson,Mustang,Primary Role,2017,Tank,,Roamer,2809,8.4,0,0,120,0,27,15,255,68,69
Julian,Scarlet Raven,"I, am more than a weapon.",2022-05-24,Fighter,Mage,EXP Lane,2878,7.8,420,16,128,0,24,15,262,281,256
Kadita,Ocean Goddess,Secondary Role,2018,Mage,Assassin,Mid,2491,7.2,495,18,105,0,18,15,240,198,148
Kagura,Onmyouji Master,Urana tte age you ka!,2016,Mage,,Mid,2556,7,519,21,118,0,19,10,240,714,739
Kaja,Nazar King,Secondary Role,2018,Fighter,Support,EXP Lane,2609,10.4,400,12,120,0,21,15,270,278,280
Karina,Shadow Blade,Primary Role,2016,Assassin,,Jungler,2633,7.8,431,16,121,0,20,15,260,403,395
Karrie,Lost Star,Primary Role,2017-07-05,Marksman,,Gold Lane,2578,8,440,15,120,0,17,15,240,350,430
Khaleed,Desert Scimitar,Sand rises when I give the word!,2020-08-06,Fighter,,EXP Lane,2778,7,0,0,109,0,23,15,250,174,166
Khufra,Desert Tyrant,Secondary Role,2019,Tank,Support,Roamer,2770,9.4,460,15,117,0,19,15,255,689,661
Kimmy,Jetpack Rebel,Secondary Role,2018-10,Marksman,Mage,Gold Lane,2450,8,100,5,90,0,22,15,245,233,203
Lancelot,Blade of Roses,Thorns remain should petals fall.,2017,Assassin,,Jungler,2549,7,450,16,124,0,16,15,260,603,568
Lapu-Lapu,Courageous Blade,Primary Role,23-05-2017,Fighter,,EXP Lane,2628,7,0,0,119,0,21,15,260,239,256
Layla,Energy Gunner,Ready? Go!,2016,Marksman,,Gold Lane,2500,5.4,424,14,125,0,15,15,240,8,7
Leomord,The Oathkeeper,Primary Role,2018,Fighter,,EXP Lane,2738,7,0,0,126,0,21,15,240,89,122
Lesley,Deadly Sniper,Secondary Role,2018-01,Marksman,Assassin,Gold Lane,2490,7.2,100,240,131,0,14,15,240,19,35
Ling,Cyan Finch,Still swords run deep.,2019,Assassin,,Jungler,2578,7.8,100,4,125,0,18,15,260,700,684
Lolita,Steel Elf,Secondary Role,2016,Support,Tank,Roamer,2579,9.6,480,12,115,0,27,15,260,508,436
Lunox,Twilight Goddess,Primary Role,2018,Mage,,Mid,2621,6.8,540,23,115,0,15,15,240,724,698
Luo_Yi,Yin-yang Geomancer,Gaze the stars and seek your path.,2020-05-16,Mage,,Mid,2601,7.2,520,21,107,0,20,15,250,165,147
Lylia,Little Wizard,Primary Role,2019-07-23,Mage,,Mid,2501,6.8,500,19,113,0,17,15,245,655,628
Mathilda,Swift Plume,Always on the way!,2020-12-12,Support,Assassin,Roamer,2561,6.8,430,16,120,0,22,15,252,756,736
Martis,Ashura King,Primary Role,2018,Fighter,,EXP Lane,2738,7,0,0,128,0,25,15,260,95,110
Masha,Wild-oats Fist,The fire of battle never extinguishes.,2019-09-17,Fighter,Tank,EXP Lane,2043,3.8,0,0,91,0,10,15,250,321,278
Melissa,Cursed Needle,NEED SOME STITCHES? I CAN HELP! *GIGGLES*,2022-02-22,Marksman,,Gold Lane,2460,6.6,448,15,123,0,18,15,248,67,75
Minotaur,Son of Minos,Secondary Role,2016,Tank,Support,Roamer,2859,8.8,0,0,123,0,18,10,260,96,96
Minsitthar,Courageous Warrior,Primary Role,2018,Fighter,,EXP Lane,2698,7.4,380,16,121,0,23,15,260,20,30
Miya,Moonlight Archer,I am the moonlight that breaks through the darkness!,22-09-2016,Marksman,,Gold Lane,2524,6,445,15,100,0,17,15,240,18,14
Moskov,Spear of Quiescence,Primary Role,20-03-2017,Marksman,,Gold Lane,2455,6.4,420,15,125,0,16,15,240,42,36
Nana,Sweet Leonin,Adventure's waiting for us!,2016,Mage,Support,Mid,2501,6.8,510,18,115,0,17,15,250,26,38
Natan,Spacetime Walker,It is in despair that I see the fondest hopes.,2021-07-23,Marksman,,Gold Lane,2530,6,443,15,115,0,17,15,245,167,155
Natalia,Bright Claw,Primary Role,2016-12,Assassin,,Jungler,2639,7,486,16,121,0,18,15,260,173,173
Odette,Swan Princess,Love outshines the golden crown!,2017-09-29,Mage,,Mid,2491,6.8,495,23,105,0,18,15,240,2,4
Pharsa,Wings of Vengeance,Primary Role,2017,Mage,,Mid,2421,6.8,490,18,109,0,17,15,240,668,673
Phoveus,Shadow of Dread,Tremble in my presence.,2021-05-11,Fighter,,EXP Lane,2828,10.8,430,21,132,0,25,15,252,309,273
Popol_and_Kupa,Icefield Companions,Primary Role,2020-04-21,Marksman,,Gold Lane,2425,6,445,15,95,0,17,15,250,669,654
Paquito,The Heavenly Fist,A punch for a punch!,2021-01-15,Fighter,,EXP Lane,2798,9.8,0,0,121,0,22,15,260,1064,964
Rafaela,Wings of Holiness,Healing prayers for you!,2016,Support,,Roamer,2441,7.2,545,23,117,0,15,15,245,375,418
Roger,Dire Wolf Hunter,Secondary Role,2017-06-25,Fighter,Marksman,Jungler,2730,7.2,450,15,128,0,22,15,240,361,411
Ruby,Little Red Hood,Secondary Role,2017,Fighter,Tank,EXP Lane,2646,7.8,453,31,121,0,25,15,260,547,632
Selena,Abyssal Witch,Secondary Role,2018-07-18,Assassin,Mage,Jungler,2401,6.8,490,18,110,0,15,15,240,493,531
Silvanna,Imperial Knightess,Primary Role,2019-12-17,Fighter,,EXP Lane,2868,7.8,430,16,126,0,22,15,255,88,84
Terizla,Executioner,Primary Role,2019-06-04,Fighter,,EXP Lane,2728,10.8,430,21,129,0,19,15,255,103,105
Thamuz,Lord Lava,Primary Role,2018,Fighter,,EXP Lane,2758,7.4,0,0,107,0,17,15,250,582,597
Uranus,Aethereal Defender,Primary Role,2018,Tank,,EXP Lane,2489,6.4,455,12,115,0,15,15,260,596,578
Vale,Windtalker,Primary Role,2019-01-29,Mage,,Mid,2401,6.8,490,21,115,0,15,15,250,53,57
Valentina,Prophetess of the Night,"I didn't cure the pain, I harness it.",2021,Mage,,Mid,2701,7.2,510,19,115,0,21,15,240,270,250
Valir,Son of Flames,Primary Role,2018,Mage,,Mid,2516,6.8,495,18,105,0,20,15,245,129,125
Vexana,Shimmer of Hope,Primary Role,2017,Mage,,Mid,2481,7.6,490,20,112,0,17,15,245,5,4
Wanwan,Agile Tiger,"To me, fun is all that matters.",2019-11-26,Marksman,,Gold Lane,2540,5.4,424,14,95,0,15,15,245,413,312
Xavier,Defier of Light,This time ... the choice is mine.,2022-03-22,Mage,,Mid,2616,6.8,670,26,111,0,15,15,250,252,232
X.Borg,Firaga Armor,Primary Role,2019-08-09,Fighter,,EXP Lane,918,7.8,0,0,117,0,25,15,260,318,327
Yin,Martial Genius,"I AM YIN, AND WILL ALWAYS BE, NO MATTER WHAT!",2022-01-18,Fighter,,EXP Lane,2578,9.8,0,,109,0,21,15,252,52,45
Yi_Sun-Shin,Paenlong Legend,Secondary Role,2017,Assassin,Marksman,Jungler,2570,7.2,438,15,100,0,22,15,250,443,383
Yu_Zhong,Black Dragon,"I would rather betray the world, than let the world betray me.",2020-06-19,Fighter,,EXP Lane,2698,11.8,0,0,129,0,21,15,245,550,594
Yve,Astrowarden,"Among the planes exists the equilibrium, which I was made for.",2021-02-12,Mage,,Mid,2651,7.2,510,21,115,0,19,15,255,834,722
Zhask,Planes Dominator,"Grovel before your King, human!",2017-11-27,Mage,,Mid,2401,6.8,490,20,107,0,15,15,240,37,46
Zilong,Spear of Dragon,The Dragonborn is back!,2016,Fighter,Assassin,Gold Lane,2689,7,405,16,123,0,25,15,265,5,23
